,PCs, Gyration_Mean, Gyration_SD, SASA_Mean, SASA_SD, Potential_energy_Mean, Potential_energy_SD, Total_energy_Mean, Total_energy_SD,Variance
0,PC1,0.3218,0.1769,0.1889,0.0349,-0.4586,0.4545,-0.4585,0.4485,4.1661
1,PC2,0.2759,0.5779,0.4306,0.5474,0.184,-0.1474,0.184,-0.124,1.6361
