nwHBd,nHCHnX,SwHBd,SHCHnX, minwHBd, minHCHnX, maxwHBd, maxHCHnX, FPSA_3, TPSA, Wnu2.unity, WK.unity, Wlambda3.mass, Wnu2.mass, WK.mass, Weta3.volume, Gyration_Mean, Gyration_SD, SASA_Mean, SASA_SD, Potential_energy_Mean, Potential_energy_SD, Total_energy_Mean, Total_energy_SD, Outcome
0,0,0,0,0,0,0,0,0.037983,181.672462,0.252795,0.243648,4.305833,0.746004,-0.105154,0.289993,1.82,0.01,132.74,2.61,-1139421.12,1106.06,-945038.52,1415.18,0
0,0,0,0,0,0,0,0,0.041417,203.556273,0.300566,0.236232,14.518683,0.289302,0.25233,0.538375,1.82,0.01,133.22,3.29,-1139668.61,1109.03,-945193.47,1380.53,0
0,0,0,0,0,0,0,0,0.034935,192.58125,0.270402,0.224739,11.015236,0.316455,0.192342,0.510846,1.85,0.01,134.63,2.74,-1139776.15,1129.37,-945284.19,1430.79,0
0,0,0,0,0,0,0,0,0.039327,209.11645,0.245367,0.294845,20.244887,0.17804,0.352328,0.513507,1.85,0.01,134.57,3.46,-1139995.38,1147.01,-945521.67,1456.47,0
0,0,0,0,0,0,0,0,0.037967,198.515906,0.250172,0.242,13.09967,0.286469,0.225012,0.510353,1.83,0.01,130.01,3.21,-1138959.57,1132.71,-944646.17,1380.12,0
0,0,0,0,0,0,0,0,0.042648,197.530616,0.132468,0.343797,1.157939,0.854901,-0.208411,0.284427,1.8,0.01,129.44,3.24,-1139407.24,1144.05,-945048.16,1408.97,0
0,0,0,0,0,0,0,0,0.037152,173.208839,0.178123,0.317392,18.747793,0.21526,0.303908,0.553687,4.74,0,132.7,3.58,-1140030.89,1119.02,-945515.23,1389.55,0
0,0,0,0,0,0,0,0,0.040459,237.63006,0.217069,0.279889,18.583271,0.191665,0.306784,0.54591,1.86,0.01,135,3.79,-1140234.77,1113.321023,-945682.33,1426.33,0
0,0,0,0,0,0,0,0,0.041312,207.656411,0.256111,0.275209,5.66034,0.033957,-0.047007,0.403611,1.82,0.01,131.26,3.69,-1140533.76,1140.04,-945921.64,1409.56,0
0,0,0,0,0,0,0,0,0.040164,174.33591,0.333057,0.200168,16.055509,0.299903,0.237644,0.446224,1.82,0.01,131.9,3.11,-1138671.7,1076.86103,-944356.18,1436.2,0
0,0,0,0,0,0,0,0,0.04223,204.596729,0.161307,0.281291,15.509958,0.123948,0.323829,0.459765,1.83,0.01,132.57,2.61,-1139982.85,1139.36,-945487.7,1431.4,0
